notif_id,day_of_week,hour,minute,category,text
564894,6,14,30,7,72 104 1 139 93 95 137 66 537 332 139 93 495 11 1 95 137
470590,1,15,57,7,96 175 125 5 24 47 24 20 76 114 56 445 487 522 512 2 117 131
470951,1,16,44,2,236 822 78 1105
470653,1,16,9,5,2 23 12 170 874 320 630 1 821 739 513 584
470773,1,16,25,0,46 131 557 855 558 46 1591 17 1374 585 558 3 1072 1874 941 1302 1 941
470865,1,16,32,0,46 131 557 855 558 46 1591 17 1374 585 558 3 1072 1874 941 1302 1 941
470641,1,16,35,7,236 822 78 542 1105
470886,1,16,36,2,236 822 78 542 1105
470919,1,16,40,0,46 131 557 855 558 46 1591 17 1374 585 558 3 1072 1874 941 1302 1 941
470836,1,16,46,5,2 23 12 170 874 320 630 1 821 739 513 584
470867,1,16,50,5,2 23 12 170 874 320 630 1 821 739 513 584
470912,1,17,0,7,740 612 42 14 7
471234,1,17,29,0,1720 59 942 10 1073 1035 1 117 221 10 823 876 34 4 240 943 108 1592 2 117 600 68
469414,1,17,0,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
470946,1,17,0,7,740 612 42 14 7
471257,1,17,30,2,601 265 113 586 877 68 13 24 14 7
467293,1,17,1,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
471833,1,18,58,2,94 805 8 113 468 9 200 123 128 321 754 66 22 11
471404,1,17,49,5,2 23 12 170 874 320 630 1 821 739 513 584
471440,1,17,54,5,2 23 12 170 874 320 630 1 821 739 513 584
471529,1,18,7,5,2 23 12 170 874 320 630 1 821 739 513 584 2 23 12 170 874 320 630 1 821 739 513 584
471561,1,18,10,5,39 6 1303 513 360 775 675 896 67
468366,1,17,30,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32
470701,1,17,30,5,2 23 12 170 874 320 630 1 821 739 513 584
467652,1,17,35,7,755 1304 3 944 1305 1133 1306 2 944 1307 1134 2 973 237 238 355 146 36 260 1308
471292,1,17,34,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
471255,1,17,30,2,601 265 113 586 877 68 13 24 14 7
470626,1,18,31,5,2 23 12 170 874 320 630 1 821 739 513 584
471314,1,17,37,0,6 333 119 119 1593 543 119 1512
470326,1,17,37,7,407 824 172 912 136 576 825 104 897 172 54 140
471331,1,17,39,7,6 643 386 620 173 337 136 14 515 23 515 544 1135 2 856 470 11 1 173 136
471343,1,17,40,2,601 265 113 586 877 68 13 24 14 7
471267,1,17,43,5,2 23 12 170 874 320 630 1 821 739 513 584
471707,1,19,0,7,72 312 806 974 72 104 163 136 826 86
471703,1,19,0,7,72 312 806 974 72 104 163 136 826 86
471705,1,19,0,7,72 312 806 974 72 104 163 136 826 86
472014,1,19,20,0,1513 1429 1513 1429 119 1594 45 187 1 1595 96 21 1514 187 46 4 4 857 266 975 36 3 1429
471907,1,19,3,0,545 52 15 6 602 1 174
471918,1,19,4,7,72 312 806 974 72 104 163 136 826 86
470877,1,18,15,7,8 4 29 2 98 99 91 201 13 227 19 1 304
469672,1,18,30,7,755 1304 3 944 1305 1133 1306 2 944 1307 1134 2 973 237 238 355 146 36 260 1308 1875 1876 9 376 23 827
471688,1,18,30,7,72 312 806 974 72 104 163 136 826 86
471683,1,18,31,7,72 312 806 974 72 104 163 136 826 86
471954,1,19,9,7,72 312 806 974 72 104 163 136 826 86
471726,1,18,37,7,6 643 386 620 173 337 136 678 90 173 14 11
567294,6,14,41,2,1309 1430 81 1596 122 97 1 81
471699,1,18,35,7,6 643 386 620 173 337 136 678 90 173 14 11
471709,1,18,35,0,776 312 18
471692,1,18,36,7,6 643 386 620 173 337 136 678 90 173 14 11
471727,1,18,37,7,72 312 806 974 72 104 163 136 826 86
567382,6,14,45,7,568 556 611 514 235 539 468 73 540 523 541
471730,1,18,40,5,94 2 23 12 170 874 320 630 1 821 739 513 584
567436,6,14,55,7,72 104 1 139 93 95 137 66 537 332 139 93 495 11 1 95 137
471741,1,18,42,7,6 643 386 620 173 337 136 678 90 173 14 11
471751,1,18,49,7,6 643 386 620 173 337 136 678 90 173 14 11
472150,1,19,34,0,898 913 1 1136 2 1182 1310 1183 1251 3 55 1 1252 898 1253 108 1 1311
567450,6,14,58,3,130 21 122 169 47 66 56 178 45 179 103 206
471762,1,18,51,7,6 643 386 620 173 337 136 678 90 173 14 11
471821,1,18,52,2,577 305 3 1 1074 24 3 153
472621,1,20,30,0,15 41 112 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292 1877
472406,1,20,8,0,545 455 612 338 10 89 976 10 15 2 1721
472646,1,20,32,0,414 22 44 15 41 6 228 1 174 89
472662,1,20,34,0,414 22 44 15 41 6 228 1 174 89
472811,1,20,48,0,15 112 41 22 44 180 52 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472860,1,20,54,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472691,1,20,39,0,15 41 112 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292 1877
472743,1,20,44,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
471982,1,19,14,7,72 312 806 974 72 104 163 136 826 86
472000,1,19,17,7,72 312 806 974 72 104 163 136 826 86
472025,1,19,21,7,72 312 806 974 72 104 163 136 826 86
471543,1,19,31,5,874 320 630 2 23 12 170 874 320 630 1 821 739 513 584
472094,1,19,28,7,72 312 806 974 72 104 163 136 826 86
467321,1,19,38,0,27 21 77 1137 658
472890,1,20,56,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
471834,1,19,30,7,755 1304 3 944 1305 1133 1306 2 944 1307 1134 2 973 237 238 355 146 36 260 1308
567351,6,14,44,2,1309 1430 81 1596 122 97 1 81
567334,6,14,44,2,1309 1430 81 1596 122 97 1 81
470433,1,19,36,5,2 23 12 170 874 320 630 1 821 739 513 584
567526,6,15,6,3,5 100 4 79 28 70 31 13 48 82 3 12 40 32 194
472128,1,19,41,0,898 913 1 1136 2 1182 1310 1183 1251 3 55 1 1252 898 1253 108 1 1311
472171,1,19,42,0,898 913 1 1136 2 1182 1310 1183 1251 3 55 1 1252 898 1253 108 1 1311
471104,1,19,42,0,274 75 828 146 1 977 777 978 979 1 980 75 981 101 3 377 719 982 983
469450,1,19,45,0,274 75 828 146 1 977 777 978 979 1 980 75 981 101 3 377 719 982 983
471967,1,19,11,0,1312 97 116 545 10 107 545 15 6 148 37 108 393 175 4 45 899 1431 42
472432,1,20,10,0,913 116 577 19 55 59 20 577 10 1511 20 697 10 914 1 2 266 4 1210 14 11 36 3 792
471829,1,20,20,7,72 312 806 974 72 104 163 136 826 86
472784,1,20,47,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472809,1,20,48,0,15 112 41 22 44 180 52 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473233,1,21,47,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472788,1,20,47,0,15 112 41 22 44 361 177 284 6 15 292
472816,1,20,48,0,15 112 41 22 44 180 52 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472847,1,20,50,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472783,1,20,50,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15
472785,1,20,51,0,15 22 44 15 112
472778,1,20,51,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472858,1,20,52,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472874,1,20,54,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472823,1,20,52,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472828,1,20,52,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472836,1,20,52,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472792,1,20,51,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472849,1,20,53,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472857,1,20,53,0,414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472851,1,20,53,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472853,1,20,52,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472884,1,20,56,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472856,1,20,53,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472914,1,20,57,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472937,1,21,0,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472932,1,21,0,0,414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472924,1,20,59,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472970,1,21,3,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472962,1,21,3,0,414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472939,1,21,0,0,414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472989,1,21,6,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473006,1,21,9,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472972,1,21,8,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473005,1,21,8,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473028,1,21,12,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472999,1,21,12,0,15 112 41 22 44 15 112 41 22 44
473030,1,21,13,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473031,1,21,13,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473009,1,21,17,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15
473035,1,21,17,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473023,1,21,17,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15
473047,1,21,17,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473040,1,21,17,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15
473060,1,21,18,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473059,1,21,19,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473050,1,21,19,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15
473067,1,21,20,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473074,1,21,22,0,15 112 41 22 44 22 44 15 41 6 228 1 174 89 361 177 284 6 15
473073,1,21,25,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473089,1,21,26,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
473092,1,21,29,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472918,1,21,30,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472994,1,21,7,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
472941,1,21,33,0,15 112 41 22 44 414 22 44 15 41 6 228 1 174 89 361 177 284 6 15 292
474293,2,6,37,7,72 312 806 11 1211 72 104 807 86 163 136
473922,2,5,19,7,5 23 7 12 237 238 587 720 613 2 728 70 84 471 53 659 46 614 8 557 9 321 7 1 660 472 7
472808,2,5,30,5,72 312 806 974 72 104 163 136 826 86
474019,2,5,36,0,248 221 153 1212 915 1 916 116 1212 915 1 2 287
473867,2,5,4,7,740 612 42 14 7
474300,2,6,37,7,156 38 11 63 62 86 1515 63 62 157 154 120 145 38 149 158 124 159 160
474043,2,5,42,7,185 110 321 47 12 237 238 587 720 613 2 728 70 84 471 53 659 46 614 8 557 9 321 7 1 660 472 7
473531,2,6,37,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
474137,2,6,12,7,21 77 37 24 20 697 211 5
474169,2,6,20,7,72 312 806 11 1211 72 104 807 86 163 136
474192,2,6,24,7,72 312 806 11 1211 72 104 807 86 163 136
472554,2,6,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
472509,2,6,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
470894,2,6,30,0,1432 270 1075 52 1432 270 1075 1 52 1 440 32 45 1254 248 1 945 3 1722 1 1 306 5 1138 89 322 1 456 306 1313 1012 4 756 544 98
474326,2,6,42,7,135 37 8 25 1 1723 105 1503 1504 1 161 35 213
472511,2,6,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474383,2,6,43,7,156 38 11 63 62 86 1515 63 62 157 154 120 145 38 149 158 124 159 160
473007,2,6,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474406,2,6,46,7,156 38 11 63 62 86 63 62 157 154 120 145 38 149 158 124 159 160
473519,2,6,33,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
474226,2,6,31,7,72 312 806 11 1211 72 104 807 86 163 136
472456,2,6,31,0,913 116 18 10 1375 1314 487 18 1315 103 516 46 1878 34
473522,2,6,31,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
471640,2,6,32,7,72 312 806 974 72 104 163 136 826 86
568853,6,18,30,7,72 104 1 139 93 95 137 66 537 332 139 93 495 11 1 95 137
475414,2,9,0,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
475404,2,9,1,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
474607,2,7,21,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
474609,2,7,21,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
474185,2,7,30,0,18 1597 59 899 18 1724 1 793 1725
475449,2,9,4,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474498,2,7,33,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
472478,2,7,33,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474418,2,7,33,0,124 900 644 441 285
473909,2,7,39,7,156 38 11 63 62 86 63 62 157 154 120 145 38 149 158 124 159 160
475454,2,9,6,3,28 31 1376 2 12 40 3 188 33 49 28 31 9 517 1377
475469,2,9,6,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
474797,2,7,41,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474824,2,7,43,0,446 447 448 15 449 12 148 6 108 9 4 26 187 460 192 148 101 356 14 1598
474832,2,7,44,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474829,2,7,43,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474839,2,7,45,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474857,2,7,47,7,740 612 42 14 7
474861,2,7,48,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474862,2,7,49,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474868,2,7,49,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474856,2,7,47,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474863,2,7,48,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474860,2,7,47,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474898,2,7,52,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
475618,2,9,42,4,4 51 1184 136 14 11 855 1036 137
474902,2,7,53,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
474930,2,7,56,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474932,2,7,57,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474948,2,7,58,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
474430,2,8,1,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474989,2,8,4,0,1255 910 698 1505 1427 14 7
475120,2,8,24,7,156 38 11 63 62 86 577 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475072,2,8,17,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475099,2,8,20,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475451,2,9,5,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475119,2,8,23,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
472515,2,8,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
472463,2,8,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475023,2,8,31,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
474792,2,8,32,2,94 110 185 185 53 513 185 170 5 742 17 3 153 90
472525,2,8,45,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475344,2,8,53,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
475373,2,8,55,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
475378,2,8,56,5,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475392,2,8,57,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
472637,2,9,0,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474246,2,6,38,7,72 312 806 11 1211 72 104 807 86 163 136
474351,2,6,39,7,156 38 11 63 62 86 1515 63 62 157 154 120 145 38 149 158 124 159 160
474253,2,6,40,2,601 265 113 586 877 601 265 167 61 4 29 586 1013 758
475429,2,9,2,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474257,2,6,41,7,72 312 806 11 1211 72 104 807 86 163 136
474377,2,6,41,7,156 38 11 63 62 86 1515 63 62 157 154 120 145 38 149 158 124 159 160
474320,2,6,41,7,72 312 806 11 1211 72 104 807 86 163 136
474431,2,6,50,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474491,2,7,0,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474509,2,7,3,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
472697,2,9,0,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474544,2,7,7,2,132 917 81 13 138 103 275 111 984 132 11 39 918 985
474419,2,7,10,0,1879 1880 1879 150 293 878 229 14 7 36 587 4 878
476214,2,11,0,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
475567,2,9,42,5,546 110 1599 829 36 72 1139
471814,1,18,52,0,545 52 22 44 15 6 88 638 89
475351,2,9,21,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
475615,2,9,22,5,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475632,2,10,32,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475624,2,9,29,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
475642,2,9,28,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
473533,2,9,30,3,28 31 1376 2 12 40 3 188 33 49 28 31 9 517 1377
475653,2,9,30,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475686,2,9,42,4,73 170 101 3 547 14 11 547 639 11
475682,2,9,35,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
475693,2,9,36,5,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475717,2,9,42,4,1036 1106 1 612 11 96 130 14 47 1 855 987
475725,2,9,38,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
475582,2,9,42,5,94 185 9 1256 56 1378 1516 1139
475755,2,9,42,5,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475588,2,9,44,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475742,2,9,44,3,33 92 48 64 71 100 39 212 4 196 164
475766,2,9,45,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
475850,2,9,57,3,28 31 1376 2 12 40 3 188 33 49 28 31 9 517 1377
475865,2,9,59,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
569213,6,18,56,2,1037 1726 10 37 84 794 1037 1726 1433 645 1 1212 645 9 293 84 103 548
475860,2,9,58,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475862,2,9,58,3,741 721 9 3 200 757 48 64 45 2 32 3 33 30 49 615 661 287 117
475888,2,10,2,0,632 633 621 15 634 635 108 26 506 636 15 112 108 602 603 1 637
475891,2,10,2,2,577 10 1881 1 729 237 238 646 14 7
476276,2,11,7,3,185 469 676 269 270 677 4 79 28 31 3 12 33 49 1 81 32 696
476451,2,11,8,0,2 89 722 7 2 723 2 1882
475948,2,10,8,7,20 697 211 274 4 294 76 8 9 729 11 34
476068,2,10,17,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
474094,2,10,30,3,33 92 48 64 71 695 162 4 196 164 87 3 12 33 81 49 32 718
566859,6,13,39,0,1297 911 804 1517 320 911 804 1257
476225,2,10,35,7,72 312 806 974 72 104 163 136 826 86
475128,2,10,33,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474562,2,10,36,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475621,2,10,36,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
474573,2,10,38,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
475294,2,10,38,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
476246,2,10,38,7,72 312 806 974 72 104 163 136 826 86
475875,2,10,41,3,28 31 2 12 40 3 188 33 49 28 31 9 517 7
475611,2,10,42,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
472878,2,10,45,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
476281,2,10,42,7,72 312 806 974 72 104 163 136 826 86
476288,2,10,43,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
476267,2,10,44,5,4 295 604 54 946 18 171 69 77 10 1014 1 1015 901 440 518 8 808 1016 1 1017 1018 4 45 1019 96 698 988 7
474554,2,10,44,7,156 38 11 63 62 86 186 191 63 62 157 154 120 145 38 149 158 124 159 160
476322,2,10,47,7,72 312 806 974 72 104 163 136 826 86
476343,2,10,50,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
476356,2,10,51,0,229 823 876 2 1 1518 457 450 1727 1379 2 461 6 59 8 108
476392,2,10,57,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
477201,2,12,36,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
476966,2,12,36,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
477425,2,13,14,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
477205,2,12,37,7,415 1 5 940 46 102 171 1600
476940,2,12,37,2,858 1038 60 167 1213 1039 1434 1 879 759
475771,2,11,13,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
476436,2,11,14,0,1140 644 1 1140 1519 742 116 40 442 450 739 48 1 64 45
477292,2,12,52,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
477248,2,12,43,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
476526,2,11,17,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
476527,2,11,17,7,360 209 8 115 42 387 32 3 88 218 6 21 8 588 80 267 129 1 35 37 213 339 1 147 3 12 188 8 17 23 279
475547,2,9,42,5,72 10 268 53 37 219 75 1139
476553,2,11,19,7,360 209 8 115 42 387 32 3 88 218 6 21 8 588 80 267 129 1 35 37 213 339 1 147 3 12 188 8 17 23 279
476556,2,11,20,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
477337,2,13,1,1,144 559 1316 108 519 559 3 1040 407 519 559 3 1040 1380
476661,2,11,27,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
476655,2,11,27,0,632 633 621 15 634 635 986 26 506 636 15 112 108 602 603 1 637
476283,2,11,30,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
473484,2,11,30,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
475133,2,11,30,7,415 113 25 1 189 199 473 474 46 475 476 102 416 477 9 478
